name,category,rating,reviews,phone,address,maps_url
Cabine Dr. Amine Khodja,Animal hospital,4.0,10.0,0672 23 25 83,"VQW4+M43, Rue Chabbi Salah dit Bouchegouf",https://www.google.com/maps/place/Cabine+Dr.+Amine+Khodja/data=!4m7!3m6!1s0x12f007e4a1748ff9:0xb4a3b4d4a02f2f95!8m2!3d36.8966342!4d7.7552984!16s%2Fg%2F11j136ckj6!19sChIJ-Y90oeQH8BIRlS8voNS0o7Q?authuser=0&hl=en&rclk=1
Dr vétérinaire Kh-Younes,Animal hospital,,,,G433+VCM,https://www.google.com/maps/place/Dr+v%C3%A9t%C3%A9rinaire+Kh-Younes/data=!4m7!3m6!1s0x12fa8d002d021c23:0xba17cb9d525e4be4!8m2!3d36.5046547!4d8.103592!16s%2Fg%2F11lykyvbb2!19sChIJIxwCLQCN-hIR5EteUp3LF7o?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire Benkrinah Abdelkader العيادة البيطرية بن قرينح عبدالقادر,Veterinarian,,,0697 87 56 12,"mairie, Cité Dafri Messaoud 123 Guelma Bouhachana en façe lq",https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+Benkrinah+Abdelkader+%D8%A7%D9%84%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D8%A8%D9%86+%D9%82%D8%B1%D9%8A%D9%86%D8%AD+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12f05d02fed4a339:0x46c425a4cda26fe7!8m2!3d36.3075512!4d7.5083828!16s%2Fg%2F11r9kl2q5m!19sChIJOaPU_gJd8BIR52-izaQlxEY?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire Dr Taibi Hemza,Doctor,,,0662 26 53 99,G434+J6J,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+Dr+Taibi+Hemza/data=!4m7!3m6!1s0x12fa8d000c506e83:0x4ab5303a9def3c5b!8m2!3d36.5040713!4d8.1055301!16s%2Fg%2F11ydphhftx!19sChIJg25QDACN-hIRWzzvnTowtUo?authuser=0&hl=en&rclk=1
,,,,,,
CABINET VETERINAIRE YAKHLEF KHAIREEDINE,Veterinarian,,,037 24 01 15,"544Q+88Q, Rue Zidane Derbal",https://www.google.com/maps/place/CABINET+VETERINAIRE+YAKHLEF+KHAIREEDINE/data=!4m7!3m6!1s0x12f0e3cb014e630f:0xf92a441176a5cba0!8m2!3d36.155828!4d7.1383451!16s%2Fg%2F11gf1rfw52!19sChIJD2NOAcvj8BIRoMuldhFEKvk?authuser=0&hl=en&rclk=1
Cabinet Veterinaire Menasria Fateh,Doctor,5.0,1.0,0674 68 78 98,545R+4X4,https://www.google.com/maps/place/Cabinet+Veterinaire+Menasria+Fateh/data=!4m7!3m6!1s0x12f0e3c9e90bf1af:0x7221c6e8bb6b9170!8m2!3d36.1577636!4d7.1424479!16s%2Fg%2F11d_z40z0f!19sChIJr_EL6cnj8BIRcJFru-jGIXI?authuser=0&hl=en&rclk=1
طب وجراحة الحيوانات,Animal hospital,,,,"544Q+CQV, Rue Zidane Derbal",https://www.google.com/maps/place/%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x12f0e382e4da2073:0x4f8658336440a6c2!8m2!3d36.1561232!4d7.1396464!16s%2Fg%2F11sf169jvt!19sChIJcyDa5ILj8BIRwqZAZDNYhk8?authuser=0&hl=en&rclk=1
Diffallah oqba,Veterinarian,5.0,2.0,0661 41 19 71,·,https://www.google.com/maps/place/Diffallah+oqba/data=!4m7!3m6!1s0x12f091616c29285f:0xe3117b2ae6912935!8m2!3d36.1393568!4d7.5282992!16s%2Fg%2F11clvfntr7!19sChIJXygpbGGR8BIRNSmR5ip7EeM?authuser=0&hl=en&rclk=1
Ani&Vet Hospital,Animal hospital,5.0,4.0,0659 15 45 31,Lotissement N °5,https://www.google.com/maps/place/Ani%26Vet+Hospital/data=!4m7!3m6!1s0x12f0ffb74d0f5275:0x377fda0cd3b9f2d!8m2!3d36.3066275!4d7.1616783!16s%2Fg%2F11v5rb6drw!19sChIJdVIPTbf_8BIRLZ87zaD9dwM?authuser=0&hl=en&rclk=1
Dr.Messaoudi hamdi,Animal hospital,,,0660 65 09 49,"797V+C8C, Rue houilli Aissa",https://www.google.com/maps/place/Dr.Messaoudi+hamdi/data=!4m7!3m6!1s0x12f0f300720e68ef:0x3d44611bfce30fa0!8m2!3d36.2635661!4d7.3932798!16s%2Fg%2F11ltlsdrc2!19sChIJ72gOcgDz8BIRoA_j_BthRD0?authuser=0&hl=en&rclk=1
